InvoiceDate,count
2010-11-29,9442
2010-12-06,8740
2010-12-13,6541
2010-12-20,947
2010-12-27,0
2011-01-03,5980
2011-01-10,4800
2011-01-17,4433
2011-01-24,5775
2011-01-31,4979
2011-02-07,3526
2011-02-14,5438
2011-02-21,5763
2011-02-28,5671
2011-03-07,5328
2011-03-14,5855
2011-03-21,6709
2011-03-28,6306
2011-04-04,6082
2011-04-11,6661
2011-04-18,3457
2011-04-25,3680
2011-05-02,7116
2011-05-09,7522
2011-05-16,7695
2011-05-23,4400
2011-05-30,5809
2011-06-06,7133
2011-06-13,6688
2011-06-20,5673
2011-06-27,4832
2011-07-04,5912
2011-07-11,6364
2011-07-18,6834
2011-07-25,6148
2011-08-01,6517
2011-08-08,5170
2011-08-15,6933
2011-08-22,6041
2011-08-29,6274
2011-09-05,8062
2011-09-12,8465
2011-09-19,10863
2011-09-26,10267
2011-10-03,12555
2011-10-10,10178
2011-10-17,10900
2011-10-24,12034
2011-10-31,12813
2011-11-07,15390
2011-11-14,15163
2011-11-21,15053
2011-11-28,14028
2011-12-05,7747
